,time,pressure,topside_temp,topside_temp_ADC,underside_temp,underside_temp_ADC,temp_ref,par,fluor,tilt,TTS,GPSLat,GPSLon,GPSDate,GPSTime,TTF,Max_Tilt,datetime
141,1544704657,0.0250244140625,11.166327739446615,16031,-3.1910778385085905,32767,8487,111.68808219178081,-10.711297024,5,40,,,,,,,2018-12-13 12:37:37
142,3555408,0.2734375,-3.2343465975750973,32767,25.083464817433992,8487,6524,-114.9445205479452,20.690376478,2,5,,,,,,,1970-02-11 03:36:48
143,1544714411,0.02410888671875,9.593160214335228,17283,-3.1910778385085905,32767,8487,21.26376712328767,-10.711297024,4,40,,,,,,,2018-12-13 15:20:11
144,1544715622,0.02410888671875,9.385866452463972,17456,-3.1910778385085905,32767,8487,14.49890410958904,-10.711297024,4,40,,,,,,,2018-12-13 15:40:22
145,1544716833,0.0238037109375,9.293156317669798,17534,-3.1910778385085905,32767,8487,4.031780821917808,-10.711297024,4,40,,,,,,,2018-12-13 16:00:33
146,1544718078,0.02349853515625,9.092687294271286,17704,-3.1910778385085905,32767,8486,0.8916438356164382,-10.711297024,3,40,,,,,,,2018-12-13 16:21:18
147,1544719289,0.023193359375,9.00726457687972,17777,-3.1910778385085905,32767,8487,0.09691780821917807,-10.711297024,4,40,,,,,,,2018-12-13 16:41:29
148,1544720511,0.023193359375,8.933858992413832,17840,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-13 17:01:51
149,1544721738,0.0225830078125,8.92107193270067,17851,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-13 17:22:18
150,1544723068,0.02227783203125,8.811004281438272,17946,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-13 17:44:28
151,1544724279,0.02197265625,8.78214759596176,17971,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-13 18:04:39
152,1544725518,0.02197265625,8.778687816552974,17974,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-13 18:25:18
154,1544636237,0.02838134765625,8.492624288139666,18224,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-12 17:37:17
155,1544637462,0.028076171875,8.464260004191601,18249,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-12 17:57:42
156,1544638688,0.0286865234375,7.755872869237294,18886,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-12 18:18:08
157,1544639911,0.0286865234375,7.533576167381909,19091,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,2,40,,,,,,,2018-12-12 18:38:31
158,1544641136,0.028076171875,7.544357764488893,19081,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-12 18:58:56
