,YR,MO,DY,HR,LAT,LON,SLP,AT,SST,DCK,SID,PT,UID,RN1,RN2,RN3,RSA,IRF
45696,1946,2,17.0,23.0,-61.7,317.5,997.5,-1.7,-1.1,204,91,5.0,0ND1T2,3,1,0,2,1
45697,1946,2,18.0,,-61.6,315.6,974.3,1.1,,899,15,,0ND1TU,3,1,0,2,1
45698,1946,2,18.0,,-61.7,33.6,973.9,1.1,,899,15,,0ND1TT,3,1,0,2,1
45699,1946,2,18.0,,-62.3,30.0,973.0,,,899,15,,0ND1TS,3,1,0,2,1
45700,1946,2,18.0,,-63.9,28.4,983.4,,,899,15,,0ND1TW,3,1,0,2,1
45701,1946,2,18.0,,-67.4,26.3,985.4,2.2,,899,15,,0ND1TV,3,1,0,2,1
45702,1946,2,18.0,3.0,-61.9,317.8,992.7,-2.2,-1.1,204,91,5.0,0ND1Z7,3,1,0,2,1
45703,1946,2,18.0,15.0,-61.5,317.3,999.7,1.7,-1.1,204,91,5.0,0ND2D7,3,1,0,2,1
45704,1946,2,18.0,23.0,-61.5,317.3,1000.3,1.1,-1.1,204,91,5.0,0ND2MP,3,1,0,2,1
45705,1946,2,19.0,,-61.8,33.9,978.7,2.2,,899,15,,0ND2NF,3,1,0,2,1
45706,1946,2,19.0,,-61.8,315.7,973.2,,,899,15,,0ND2NG,3,1,0,2,1
45707,1946,2,19.0,,-63.1,29.9,970.0,1.1,,899,15,,0ND2NJ,3,1,0,2,1
45708,1946,2,19.0,,-64.1,28.6,973.2,,,899,15,,0ND2NI,3,1,0,2,1
45709,1946,2,19.0,,-67.1,27.7,971.9,-1.0,,899,15,,0ND2NH,3,1,0,2,1
45710,1946,2,19.0,3.0,-61.5,317.3,998.7,-2.2,-1.1,204,91,5.0,0ND2SQ,3,1,0,2,1
45711,1946,2,19.0,15.0,-61.5,317.3,998.7,-1.7,-1.1,204,91,5.0,0ND36C,3,1,0,2,1
45712,1946,2,19.0,23.0,-61.5,317.3,998.5,-1.1,-1.1,204,91,5.0,0ND3G9,3,1,0,2,1
45713,1946,2,20.0,,-61.8,35.6,989.5,2.8,,899,15,,0ND3HI,3,1,0,2,1
45714,1946,2,20.0,,-61.8,315.5,973.9,2.2,,899,15,,0ND3HJ,3,1,0,2,1
45715,1946,2,20.0,,-64.7,27.9,974.3,,,899,15,,0ND3HK,3,1,0,2,1
